Term Identifier	Term Name	Term textual definition	Spanish Translation	
Abnormality of the skeletal system			Anomalía del Sistema Esquelético	
Abnormality of head and neck	HP:0000601	Hypotelorism	Interpupillary distance less than 2 SD above the mean (alternatively, the appearance of an decreased interpupillary distance or closely spaced eyes).	Hipotelorismo	
Abnormality of head and neck	HP:0011079	Impacted tooth	A tooth that has not erupted because of local impediments (overcrowding or fibrous gum overgrowth).	Diente impactado	
Abnormality of head and neck	HP:0011081	Incisor macrodontia	`Increased size` (PATO:0000586) of the `incisor tooth` (FMA:12823).	Macrodoncia de incisivo	
Abnormality of head and neck	HP:0011340	Incomplete cleft of the upper lip	A subtle unilateral cleft of the upper lip, which may appear as a small indentation.	Hendidura incompleta del labio superior	
Abnormality of head and neck	HP:0000468	Increased adipose tissue around the neck	An increased amount of subcutaneous fat tissue around the neck.	Aumento del tejido adiposo alrededor del cuello	
Abnormality of head and neck	HP:0007800	Increased axial globe length	Abnormal largeness of the eye with an axial length > 2.5 standard deviations from population mean.	Aumento de la longitud axial del globo ocular	
Abnormality of head and neck	HP:0000287	Increased facial adipose tissue	An increased amount of subcutaneous fat tissue in the face.	Aumento del tejido adiposo facial	
Abnormality of head and neck	HP:0011069	Increased number of teeth	The presence of a `supernumerary` (PATO:0000470), i.e., extra, `tooth` (FMA:12516) or teeth.	Aumento del número de dientes	
Abnormality of head and neck	HP:0004330	Increased skull ossification	An increase in the magnitude or amount of ossification of the skull.	Aumento de la osificación del cráneo	
Abnormality of head and neck	HP:0100876	Infra-orbital crease	Skin crease extending from below the inner canthus laterally along the malar process of the maxilla and zygoma.	Pliegue infra-orbitario	
Abnormality of head and neck	HP:0011232	Infra-orbital fold	Elevated ridge(s) of skin starting well below the medial aspect of the lower lid that curves gradually upward toward and/or across the nasal bridge.	Repliegue infra-orbitario	
Abnormality of head and neck	HP:0010284	Intra-oral hyperpigmentation	Increased pigmentation, either focal or generalized, of the `mucosa of the mouth` (FMA:59660).	Hiperpigmentación intraoral	
Abnormality of head and neck	HP:0006316	Irregularly spaced teeth	Irregular distribution of the teeth along the dental arch, i.e., and `irregular spatial pattern ` (PATO:0000330) of `teeth` (FMA:12516).	Dientes espaciados irregularmente	
Abnormality of head and neck	HP:0002680	J-shaped sella turcica	A deformity of the sella turcica whereby the sella extends further anterior than normal such that the anterior clinoid process appears to overhang it, giving the appearance of the letter J on imaging of the skull.	Silla turca en forma de J	
Abnormality of head and neck	HP:0010603	Keratocystic odontogenic tumor	A benign uni- or multicystic, intraosseous tumor of odontogenic origin, with a characteristic lining of parakeratinized stratified squamous epithelium and potential for aggressive, infiltrative behaviour.	Tumor odontogénico quetaroquístico	
Abnormality of head and neck	HP:0004443	Lambdoidal craniosynostosis	A kind of `craniosynostosis` (HP:0001363) affecting the lambdoidal suture.	Craneosinostosis lambdoidea	
Abnormality of head and neck	HP:0003683	Large beaked nose		Nariz grande con forma de pico	
Abnormality of head and neck	HP:0001090	Large eyes	Increased size of the  ocular globe (eyeball).	Ojos grandes	
Abnormality of head and neck	HP:0100729	Large face		Cara grande	
Abnormality of head and neck	HP:0000239	Large fontanelles	In newborns, the two frontal bones, two parietal bones, and one occipital bone are joined by fibrous sutures, which form a small posterior fontanelle, and a larger, diamond-shaped anterior fontanelle. These regions allow for the skull to pass the birth canal and for later growth. The fontanelles gradually ossify, whereby the posterior fontanelle usually closes by eight weeks and the anterior fontanelle by the 9th to 16th month of age. Large fontanelles are diagnosed if the fontanelles are larger than age-dependent norms.	Fontanelas amplias	
Abnormality of head and neck	HP:0002700	Large foramen magnum	An abnormal increase in the size of the foramen magnum.	Agujero occipital amplio	
Abnormality of head and neck	HP:0002003	Large forehead		Frente amplia	
Abnormality of head and neck	HP:0004491	Large posterior fontanelle	An enlargement of the `posterior fontanelle` (FMA:75440) relative to age-dependent norms.	Fontanela posterior amplia	
Abnormality of head and neck	HP:0002690	Large sella turcica	An abnormal enlargement of the `sella turcica` (FMA:54709).	Silla turca grande	
Abnormality of head and neck	HP:0007733	Laterally curved eyebrow		Ceja curvada lateralmente	
Abnormality of head and neck	HP:0011230	Laterally extended eyebrow	An eyebrow that extends laterally beyond the orbital rim rather than turning gently downward at that location.	Ceja extendida lateralmente	
Abnormality of head and neck	HP:0011316	Left unicoronal synostosis	Synostosis affecting only the left coronal suture.	Sinostosis coronal izquierda	
Abnormality of head and neck	HP:0011321	Left unilambdoid synostosis	Premature synostosis of only the left lambdoid suture.	Sinostosis lambdoidea izquierda	
Abnormality of head and neck	HP:0005986	Limitation of neck motion		Limitación del movimiento del cuello	
Abnormality of head and neck	HP:0005991	Limited neck flexion		Limitación de la flexión del cuello	
Abnormality of head and neck	HP:0000466	Limited neck range of motion		Movimiento del cuello limitado	
Abnormality of head and neck	HP:0010798	Lip freckle	Increased focal pigmentation of the vermilion of the lips.	Pecas labiales	
Abnormality of head and neck	HP:0100816	Lip hyperpigmentation		Hiperpigmentación de labios	
Abnormality of head and neck	HP:0100267	Lip pit	A depression located on a lip.	Fositas o muescas (pits) del labio	
Abnormality of head and neck	HP:0000214	Lip telangiectasia	`Telangiectasia` (MPATH:476) (that is, the presence of small dilated superficial blood vessels) of the `lips` (FMA:59815).	Telangiectasia del labio	
Abnormality of head and neck	HP:0000180	Lobulated tongue	Multiple indentations and/or elevations on the edge and/or surface of the tongue producing an irregular surface contour.	Lengua lobulada	
Abnormality of head and neck	HP:0011074	Localized hypoplasia of dental enamel	A `localized` (PATO:0000627) form of developmental hypoplasia of the `dental enamel` (FMA:55629).	Hipoplasia localizada del esmalte dental	
Abnormality of head and neck	HP:0011059	Localized periodontitis	A `localized` (PATO:0000627) form of `periodontitis` (HP:0000165).	Periodontitis localizada	
Abnormality of head and neck	HP:0004523	Long eyebrows	Increased length of the hairs of the eyebrows.	Cejas largas	
Abnormality of head and neck	HP:0000527	Long eyelashes	Mid upper eyelash length >10 mm or increased length of the eyelashes (subjective).	Pestañas largas	
Abnormality of head and neck	HP:0007740	Long eyelashes in irregular rows		Pestañas largas en filas irregulares	
Abnormality of head and neck	HP:0000276	Long face	Facial height (length) is more than 2 standard deviations above the mean (objective); or, an apparent increase in the height (length) of the face (subjective).	Cara larga	
Abnormality of head and neck	HP:0000472	Long neck	Increased inferior-superior length of the neck.	Cuello largo	
Abnormality of head and neck	HP:0003189	Long nose	Distance from nasion to subnasale more than two standard deviations above the mean, or alternatively, an apparently increased length from the nasal root to the nasal base.	Nariz larga	
Abnormality of head and neck	HP:0000637	Long palpebral fissure	Distance between medial and lateral canthi is more than two standard deviations above the mean for age (objective); or, apparently increased length of the palpebral fissures.	Hendidura palpebral larga	
Abnormality of head and neck	HP:0000343	Long philtrum	Distance between nasal base and midline upper lip vermilion border more than 2 SD above the mean. Alternatively, an apparently increased distance between nasal base and midline upper lip vermilion border.	Filtro largo	
Abnormality of head and neck	HP:0007840	Long upper eyelashes	Increased length of the upper eyelashes.	Pestañas superiores largas	
Abnormality of head and neck	HP:0011341	Long upper lip	Increased width of the `upper lip` (FMA:59817).	Labio superior largo	
Abnormality of head and neck	HP:0010810	Long uvula	Increased length of the `uvula` (FMA:55022).	Úvula larga	
Abnormality of head and neck	HP:0011457	Loss of eyelashes	This term refers to the loss of eyelashes that were previously present.	Pérdida de pestañas	
Abnormality of head and neck	HP:0000292	Loss of facial adipose tissue	Loss of normal subcutaneous fat tissue in the face.	Pérdida de tejido adiposo facial	
Abnormality of head and neck	HP:0005327	Loss of facial expression		Pérdida de expresión facial	
Abnormality of head and neck	HP:0000294	Low anterior hairline	Distance between the hairline (trichion) and the glabella (the most prominent point on the frontal bone above the root of the nose), in the midline, more than two SD below the mean. Alternatively, an apparently decreased distance between the hairline and the glabella.	Inserción anterior del cabello baja	
Abnormality of head and neck	HP:0009765	Low hanging columella	Columella extending inferior to the level of the nasal base, when viewed from the side.	Columela baja colgante	
Abnormality of head and neck	HP:0010763	Low insertion of columella	Insertion of the posterior columella below the nasal base.	Inserción baja de la columela	
Abnormality of head and neck	HP:0002162	Low posterior hairline	Hair on the neck extends more inferiorly than usual.	Inserción posterior del cabello baja	
Abnormality of head and neck	HP:0000652	Lower eyelid coloboma	A short discontinuity of the margin of the `lower eyelid` (FMA:54442).	Coloboma del párpado inferior	
Abnormality of head and neck	HP:0012568	Lower eyelid edema	Edema in the region of the `Lower eyelid` (FMA:54442).	Edema del párpado inferior	
Abnormality of head and neck	HP:0000196	Lower lip pit	Depression located on the `vermilion of the lower lip` (FMA:59828), usually paramedian.	Fosita o muesca (pit) de labio inferior	
Abnormality of head and neck	HP:0000256	Macrocephaly	Occipitofrontal (head) circumference greater than 97th centile compared to appropriate, age matched, sex-matched normal standards. Alternatively, a apparently increased size of the `cranium` (FMA:46565).	Macrocefalia	
Abnormality of head and neck	HP:0004488	Macrocephaly at birth	The presence of an abnormally large skull with onset at birth.	Macrocefalia congénita	
Abnormality of head and neck	HP:0200135	Macrocephaly due to hydrocephalus		Macrocefalia debida a hidrocefalia	
Abnormality of head and neck	HP:0001572	Macrodontia	`Increased size` (PATO:0000586) of the `teeth` (FMA:12516), which can be defined as a mesiodistal tooth diameter (width) more than 2 SD above mean for age. Alternatively, an apparently increased maximum width of the tooth.	Macrodoncia	
Abnormality of head and neck	HP:0000675	Macrodontia of permanent maxillary central incisor	`Increased size` (PATO:0000586) of the `maxillary central secondary incisor tooth` (FMA:55722).	Macrodoncia del incisivo central superior permanente	
Abnormality of head and neck	HP:0000158	Macroglossia	Increased length and width of the tongue.	Macroglosia	
Abnormality of head and neck	HP:0011827	Malaligned philtral ridges	Absence of the usual parallel position of philtral ridges.	Filtro con crestas mal alineadas	
Abnormality of head and neck	HP:0012369	Malar anomaly	An anomaly of `frontal process of maxilla` (FMA:52894).	Anomalía malar	
Abnormality of head and neck	HP:0000272	Malar flattening	Underdevelopment of the malar (frontal) process of the maxilla, appreciated in profile and/or by palpation.	Aplanamiento malar	
Abnormality of head and neck	HP:0010620	Malar prominence	Prominence of the malar process of the maxilla and infraorbital area appreciated in profile and from in front of the face.	Prominencia malar	
Abnormality of head and neck	HP:0006338	Malformation of mandibular premolar	An abnormality of the`morphology` (PATO:0000051) of `secondary premolar tooth` (FMA:55717).	Malformación del premolar mandibular	
Abnormality of head and neck	HP:0009939	Mandibular aplasia	Absence of the mandible.	Aplasia mandibular	
Abnormality of head and neck	HP:0007627	Mandibular condyle aplasia		Aplasia del cóndilo mandibular	
Abnormality of head and neck	HP:0007628	Mandibular condyle hypoplasia		Hipoplasia del cóndilo mandibular	
Abnormality of head and neck	HP:0004472	Mandibular hyperostosis	Hyperostosis (bony overgrowth) of the  mandible.	Hiperostosis mandibular	
Abnormality of head and neck	HP:0007626	Mandibular osteomyelitis		Osteomielitis mandibular	
Abnormality of head and neck	HP:0200025	Mandibular pain		Dolor mandibular	
Abnormality of head and neck	HP:0000303	Mandibular prognathia	Abnormal prominence of the `chin` (FMA:46495) related to `increased length` (PATO:0000573) of the `mandible` (FMA:52748).	Prognatismo mandibular	
Abnormality of head and neck	HP:0005321	Mandibulofacial dysostosis	A type of craniofacial dysostosis associated with abnormalities of the external ears, mirognathia, macrostomia, coloboma of the lower eyelid, and cleft palate. This is a bundled term that is left in the HPO now for convenience with legacy annotations but should not be used for new annotations.	Disostosis mandibulofacial	
Abnormality of head and neck	HP:0006291	Marked delay in eruption of permanent teeth		Retraso marcado en la erupción de los dientes permanentes	
Abnormality of head and neck	HP:0000298	Mask-like facies	A lack of facial expression often with staring eyes and a slightly open mouth.	Facies de máscara 	
Abnormality of head and neck	HP:0000265	Mastoiditis		Mastoiditis	
Abnormality of head and neck	HP:0001593	Maxillary lateral incisor microdontia	`Decreased size` (PATO:0000587) of the `maxillary permanent incisor` (FMA:55713).	Microdoncia del incisivo lateral superior	
Abnormality of head and neck	HP:0005439	Maxillozygomatic hypoplasia	Hypoplasia of the maxillozygomatic complex.	Hipoplasia del complejo maxilo-cigomático	
Abnormality of head and neck	HP:0010747	Medial flaring of the eyebrow	An abnormal distribution of eyebrow hair growth in the medial direction.	Desflecamiento medial de la ceja	
Abnormality of head and neck	HP:0000161	Median cleft lip	A type of `cleft lip` (HP:0000204) presenting as a midline (median) gap in the upper lip.	Hendidura central de labio	
Abnormality of head and neck	HP:0008501	Median cleft lip and palate	Cleft lip or palate affecting the midline region of the palate.	Hendidura central de labio y paladar	
Abnormality of head and neck	HP:0009099	Median cleft palate	Cleft palate of the midline of the palate.	Hendidura central del paladar	
Abnormality of head and neck	HP:0011820	Membranous choanal atresia	Absence of the normal opening of the choana (the posterior nasal aperture) as a result of an obstructing choanal membrane that may be thin and strandlike or thick and pluglike.	Atresia membranosa de coanas	
Abnormality of head and neck	HP:0006888	Meningoencephalocele		Meningoencefalocele	
Abnormality of head and neck	HP:0011067	Mesiodens	The presence of a supernumerary tooth in the midline between the maxillary central incisors.	Mesiodens	
Abnormality of head and neck	HP:0011223	Metopic depression	Linear vertical groove in the midline of the forehead, extending from hairline to glabella.	Depresión metópica	
Abnormality of head and neck	HP:0005495	Metopic suture patent to nasal root	The frontal suture divides the two halves of the frontal bone in infants and usually fuses by the age of six years. The suture runs from the bregma (the point on the skull at which the coronal suture is intersected perpendicularly by the sagittal suture) to the nasion or nasal root. This term applies if the suture is widely patent from bregma to nasal root.	Sutura metópica abierta hasta la raíz nasal	
Abnormality of head and neck	HP:0011330	Metopic synostosis	Premature fusion of the metopic suture.	Sinostosis metópica	
Abnormality of head and neck	HP:0000252	Microcephaly	Occipito-frontal (head) circumference (OFC) less than -3 standard deviations compared to appropriate, age matched, normal standards (Ross JJ, Frias JL 1977,  PMID:9683597). Alternatively, decreased size of the `cranium` (FMA:46565).	Microcefalia	
Abnormality of head and neck	HP:0000691	Microdontia	`Decreased size` (PATO:0000587) of the `teeth` (FMA:12516), which can be defined as a mesiodistal tooth diameter (width) more than 2 SD below mean. Alternatively, an apparently decreased maximum width of tooth.	Microdoncia	
Abnormality of head and neck	HP:0006347	Microdontia of primary teeth	`Decreased size` (PATO:0000587) of the `primary teeth` (FMA:55637).	Microdoncia de los dientes primarios	
Abnormality of head and neck	HP:0000171	Microglossia	Decreased length and width of the `tongue` (FMA:54640).	Microglosia	
Abnormality of head and neck	HP:0000347	Micrognathia	`Developmental hypoplasia` (MPATH:10060) of the `mandible` (FMA:52748).	Micrognatia	
Abnormality of head and neck	HP:0000568	Microphthalmos	A developmental anomaly characterized by abnormal smallness of one or both eyes.	Microftalmos	
Abnormality of head and neck	HP:0000308	Microretrognathia	A form of `developmental hypoplasia` (MPATH:10060) of the `mandible` (FMA:52748) in which the mandible is `mislocalised posteriorly` (PATO:0001922).	Microrretrognatia	
Abnormality of head and neck	HP:0007452	Midface capillary hemangioma		Hemangioma capilar del tercio medio de la cara	
Abnormality of head and neck	HP:0012371	Midface prominence	Anterior positioning of the infraorbital and perialar regions, or increased convexity of the face, or increased nasolabial angle.	Prominencia  del tercio medio de la cara	
Abnormality of head and neck	HP:0011800	Midface retrusion	Posterior positions and/or vertical shortening of the infraorbital and perialar regions, or increased concavity of the face and/or reduced nasolabial angle.	Retrusión del tercio medio de la cara	
Abnormality of head and neck	HP:0007466	Midfrontal capillary hemangioma		Hemangioma capilar del medio de la frente	
Abnormality of head and neck	HP:0010753	Midline defect of mandible		Defecto de la línea media de la mandíbula	
Abnormality of head and neck	HP:0004122	Midline defect of the nose	This term groups together three conditions that presumably represent different degrees of severity of a midline defect of the nose or nasal tip.	Defecto de la línea media de la nariz	
Abnormality of head and neck	HP:0007601	Midline facial capillary hemangioma		Hemangioma capilar de la línea media de la cara	
Abnormality of head and neck	HP:0100629	Midline facial cleft	A congenital malformation with a cleft (gap or opening) in the midline of the face.	Hendidura de la línea media de la cara	
Abnormality of head and neck	HP:0004112	Midline nasal groove	An abnormal groove on the midline of the nose that may extend to the nasal tip.	Surco de la línea media de la nariz	
Abnormality of head and neck	HP:0009084	Midline notch of upper alveolar ridge		Muesca de la línea media del reborde alveolar superior	
Abnormality of head and neck	HP:0011828	Midline sinus of philtrum	Pit in the midline of the philtral groove.	Seno de la línea media del filtro	
Abnormality of head and neck	HP:0005498	Midline skin dimples over anterior/posterior fontanelles		Hoyuelos en la línea media sobre las fontanelas anterior / posterior	
Abnormality of head and neck	HP:0010643	Midnasal atresia	Absence or abnormal closure of the midnasal cavity.	Atresia de la parte media de la nariz	
Abnormality of head and neck	HP:0010644	Midnasal stenosis	Abnormal narrowing (stenosis) of the midnasal cavity, i.e., of the `middle nasal meatus` (FMA:53139), which in neonates can cause respiratory distress.	Estenosis de la parte media de la nariz	
Abnormality of head and neck	HP:0011062	Misalignment of incisors	`Misaligned` (PATO:0001654) `incisor` (FMA:12823).	Incisivos mal alineados	
Abnormality of head and neck	HP:0000692	Misalignment of teeth	Abnormal alignment, positioning, or spacing of the teeth, i.e., `misaligned` (PATO:0001654) `teeth` (FMA:12516).	Dientes mal alineados	
Abnormality of head and neck	HP:0011093	Molarization of premolar	Increased size and molar morphology of `premolar tooth` (FMA:55637).	Molarización del premolar	
Abnormality of head and neck	HP:0000182	Movement abnormality of the tongue		Anomalía del movimiento de la lengua	
Abnormality of head and neck	HP:0011092	Mulberry molar	Mulberry molars are irregular teeth generally affecting the first molars and are characterized by a grossly deformed crown imitating, as the name implies, the surface of a mulberry.	Molar en forma de mora	
Abnormality of head and neck	HP:0001571	Multiple impacted teeth	The presence of `multiple` (PATO:0002118) `impacted teeth` (HP:0011079).	Múltiples dientes impactados	
Abnormality of head and neck	HP:0006321	Multiple non-erupting secondary teeth		Múltiples dientes secundarios no erupcionados	
Abnormality of head and neck	HP:0008496	Multiple rows of eyelashes		Múltiples filas de pestañas	
Abnormality of head and neck	HP:0011324	Multiple suture craniosynostosis	Craniosynostosis involving at least 2 cranial sutures, where the exact pattern of sutures fused has not been precisely specified.	Craneosinostosis de múltiples suturas	
Abnormality of head and neck	HP:0006283	Multiple unerupted teeth	The presence of multiple embedded tooth germs which have failed to erupt.	Múltiples dientes no erupcionados	
Abnormality of head and neck	HP:0002058	Myopathic facies	A facial appearance characteristic of myopathic conditions. The face appears expressionless with sunken cheeks, bilateral ptosis, and inability to elevate the corners of the mouth, due to muscle weakness.	Cara miopática	
Abnormality of head and neck	HP:0000275	Narrow face	Bizygomatic (upper face) and bigonial (lower face) width are both more than 2 standard deviations below the mean (objective); or, an apparent reduction in the width of the upper and lower face (subjective).	Cara estrecha	
Abnormality of head and neck	HP:0000341	Narrow forehead	Width of the forehead or distance between the frontotemporales is more than two standard deviations below the mean (objective); or apparently narrow intertemporal region (subjective).	Frente estrecha	
Abnormality of head and neck	HP:0012801	Narrow jaw	Bigonial distance (lower facial width) more than 2 standard deviations below the mean (objective); or an apparently decreased width of the lower jaw (mandible) when viewed from the front (subjective).	Mandíbula estrecha	
Abnormality of head and neck	HP:0002010	Narrow maxilla		Maxilar estrecho	
Abnormality of head and neck	HP:0000160	Narrow mouth	Distance between the commissures of the `mouth` (FMA:49184) more than 2 SD below the mean. Alternatively, an apparently decreased width of the oral aperture (subjective).	Boca estrecha	
Abnormality of head and neck	HP:0009933	Narrow naris	Slender, slit-like aperture of the `nostril` (FMA:59645).	Narinas estrechas	
Abnormality of head and neck	HP:0012809	Narrow nasal base	Decreased distance between the attachments of the alae nasi to the face.	Base nasal estrecha	
Abnormality of head and neck	HP:0000446	Narrow nasal bridge	Decreased width of the bony bridge of the nose.	Puente nasal estrecho	
Abnormality of head and neck	HP:0000418	Narrow nasal ridge	Decreased width of the nasal ridge.	Cresta nasal estrecha	
Abnormality of head and neck	HP:0009936	Narrow nasal septum	Abnormally narrow nasal septum.	Tabique nasal estrecho	
Abnormality of head and neck	HP:0011832	Narrow nasal tip	Decrease in width of the nasal tip.	Punta de la nariz estrecha	
Abnormality of head and neck	HP:0000460	Narrow nose	Interalar distance more than 2 SD below the mean for age, or alternatively, an apparently decreased width of the nasal base and alae.	Nariz estrecha	
Abnormality of head and neck	HP:0000189	Narrow palate	Width of the palate more than 2 SD below the mean (objective) or apparently decreased palatal width (subjective).	Paladar estrecho	
Abnormality of head and neck	HP:0011829	Narrow philtrum	Distance between the philtral ridges, measured just above the vermilion border, more than 2 standard deviations below the mean. Alternatively, an apparently decreased distance between the ridges of the philtrum.	Filtro estrecho	
Abnormality of head and neck	HP:0010811	Narrow uvula	Decreased width of the `uvula` (FMA:55022).	Úvula estrecha	
Abnormality of head and neck	HP:0000434	Nasal mucosa telangiectasia	`Telangiectasia` (MPATH:476) of the nasal mucosa.	Telangiectasia de la mucosa nasal	
Abnormality of head and neck	HP:0001742	Nasal obstruction	Reduced ability to pass air through the nasal cavity often leading to mouth breathing.	Obstrucción nasal	
Abnormality of head and neck	HP:0100582	Nasal polyposis	Polypoidal masses arising mainly from the mucous membranes of the nose and paranasal sinuses. They are freely movable and nontender overgrowths of the mucosa that frequently accompany allergic rhinitis.	Poliposis nasal	
Abnormality of head and neck	HP:0011818	Nasofrontal encephalocele		Encefalocele nasofrontal	
Abnormality of head and neck	HP:0000695	Natal tooth	Erupted tooth or teeth at birth.	Diente natal	
Abnormality of head and neck	HP:0003722	Neck flexor weakness	Weakness of the muscles involved in neck flexion (sternocleidomastoid, longus capitus, longus colli, and scalenus anterior).	Debilidad de la flexión del cuello	
Abnormality of head and neck	HP:0000467	Neck muscle weakness	`Decreased strength` (PATO:0001779) of the `neck musculature` (FMA:71290).	Debilidad muscular del cuello	
Abnormality of head and neck	HP:0100630	Neoplasia of the nasopharynx		Neoplasia de la nasofaringe	
Abnormality of head and neck	HP:0100637	Neoplasia of the nose		Neoplasia de la nariz	
Abnormality of head and neck	HP:0100638	Neoplasia of the pharynx		Neoplasia de la faringe	
Abnormality of head and neck	HP:0100604	Neoplasm of the lip	A `neoplasm` (MPATH:218) of the `lips` (FMA:59815).	Neoplasia del labio	
Abnormality of head and neck	HP:0012720	Neoplasm of the nose	Cancer of the nasal cavity.	Neoplasia de la cavidad nasal	
Abnormality of head and neck	HP:0100649	Neoplasm of the oral cavity	A `neoplasm` (MPATH:218) occurring in the `oral cavity` (FMA:20292).	Neoplasia de la cavidad oral	
Abnormality of head and neck	HP:0100648	Neoplasm of the tongue	A `neoplasm` (MPATH:218) of the `tongue` (FMA:54640).	Neoplasia de la lengua	
Abnormality of head and neck	HP:0008498	No permanent dentition		Ausencia de dentición permanente	
Abnormality of head and neck	HP:0010732	Nodular changes affecting the eyelids	Nodular changes affecting the eyelids may have many different causes such as cystic lesions (chalaziae, hordeolae), lipogranulomas, melanomas, infectious diseases (Molluscum contagiosum) and many more.	Cambios nodulares que afectan a los párpados	
Abnormality of head and neck	HP:0100335	Non-midline cleft lip	Clefting of the upper lip affecting the lateral portions of the upper lip rather than the midline/median region.	Hendidura no central del labio	
Abnormality of head and neck	HP:0100338	Non-midline cleft palate		Hendidura no central del paladar	
Abnormality of head and neck	HP:0012413	Notched primary central incisor	The presence of a V-shaped indentation (notch) in the primary central incisor.	Incisivo central con muesca	
Abnormality of head and neck	HP:0005452	Obliteration of frontal sinuses		Obliteración de los senos frontales	
Abnormality of head and neck	HP:0006350	Obliteration of the pulp chamber	Obliteration of the pulp chambers owing to mineralization of the dental pulp.	Obliteración de la cámara de la pulpa dental	
Abnormality of head and neck	HP:0005446	Obtuse angle of mandible	Abnormally flat (obtuse) angle of the mandible. The angle of the mandibular, located at the junction between the body and the ramus of the mandible, is normally close to being a right angle. This terms describes an abnormal increase of this angle such that the mandible appears flatter than normal.	Ángulo obtuso de la mandíbula	
Abnormality of head and neck	HP:0002085	Occipital encephalocele	A type of encephalocele (that is, a a protrusion of part of the cranial contents including brain tissue through a congenital opening in the cranium, typically covered with skin or mucous membrane) in the occipital region of the skull. Occipital encephalocele presents as a midline swelling over the occipital bone.   It is usually covered with normal full-thickness scalp.	Encefalocele occipital	
Abnormality of head and neck	HP:0200026	Ocular pain		Dolor ocular	
Abnormality of head and neck	HP:0100612	Odontogenic neoplasm	Neoplasm involving odontogenic cells, an `odontogenic tumor` (MPATH:379).	Neoplasia odontogénica	
Abnormality of head and neck	HP:0011068	Odontoma	The presence of an `odontoma` (MPATH:387).	Odontoma	
Abnormality of head and neck	HP:0000677	Oligodontia	A developmental anomaly characterized by a `reduced number of` (PATO:0001999) teeth, whereby more than 6 teeth are missing.	Oligodoncia	
Abnormality of head and neck	HP:0012225	Oligodontia of primary teeth	Reduced number of primary teeth.	Oligodoncia de los dientes primarios	
Abnormality of head and neck	HP:0010807	Open bite	Visible space between the dental arches in occlusion.	Mordida abierta	
Abnormality of head and neck	HP:0000194	Open mouth		Boca abierta	
Abnormality of head and neck	HP:0000228	Oral cavity teleangiectasia	Presence of teleangiectases in the oral cavity.	Teleangiectasia de la cavidad oral	
Abnormality of head and neck	HP:0000202	Oral cleft	The presence of a cleft in the oral cavity, the two main types of which are cleft lip and cleft palate. In cleft lip, there is the congenital failure of the maxillary and median nasal processes to fuse, forming a groove or fissure in the lip. In cleft palate, there is a congenital failure of the palate to fuse properly, forming a grooved depression or fissure in the roof of the mouth. Clefts of the lip and palate can occur individually or together. It is preferable to code each defect separately.	Hendidura oral	
Abnormality of head and neck	HP:0002745	Oral leukoplakia	A white patch on the oral mucosa that cannot be rubbed off.	Leucoplasia oral	
Abnormality of head and neck	HP:0200097	Oral mucusa blisters		Ampollas de la mucosa oral	
Abnormality of head and neck	HP:0010285	Oral synechia	Fibrous band between the mucosal surfaces of the upper and lower alveolar ridges.	Sinequia oral	
Abnormality of head and neck	HP:0000155	Oral ulcer	Erosion of the mucous mebrane of the mouth with local excavation of the surface, resulting from the sloughing of inflammatory necrotic tissue.	Úlcera oral	
Abnormality of head and neck	HP:0200136	Oral-pharyngeal dysphagia		Disfagia orofaríngea	
Abnormality of head and neck	HP:0005472	Orbital craniosynostosis		Craneosinostosis de la órbita	
Abnormality of head and neck	HP:0001144	Orbital cyst	Presence of a cyst in the region of the orbita. Orbital cysts can be derived from epithelial or glandular tissue within or surrounding the orbit (lacrimal glands, salivary glands, conjunctival, oral, nasal, or sinus epithelium).	Quiste de la órbita	
Abnormality of head and neck	HP:0007115	Orbital encephalocele		Encefalocele de la órbita	
Abnormality of head and neck	HP:0000300	Oval face	A face with a rounded and slightly elongated outline.	Rostro ovalado	
Abnormality of head and neck	HP:0011094	Overbite	Maxillary teeth cover the mandibular teeth when biting to an increased degree.	Sobremordida	
Abnormality of head and neck	HP:0011833	Overhanging nasal tip	Positioning of the nasal tip inferior to the nasal base.	Punta nasal prominente y caida	
Abnormality of head and neck	HP:0011095	Overjet	An abnormal anteroposterior extension of the maxillary teeth beyond the plane of the mandibular teeth upon jaw closure.	Dientes maxilares salidos hacia delante	
Abnormality of head and neck	HP:0000263	Oxycephaly	Oxycephaly (from Greek oxus, sharp, and kephalos, head) refers to a conical or pointed shape of the skull.	Oxicefalia, forma cónica del cráneo	
Abnormality of head and neck	HP:0010294	Palate fistula	A fistula which connects the oral cavity and the pharyngeal area via the aspects of the soft palate.	Fístula del paladar	
Abnormality of head and neck	HP:0002707	Palate telangiectasia	The presence of small (ca. 0.5-1.0 mm) dilated blood vessels near the surface of the mucous membranes of the palate.	Telangiectasia del paladar	
Abnormality of head and neck	HP:0100540	Palpebral edema	Edema in the region of the `eyelids` (FMA:75178).	Edema palpebral	
Abnormality of head and neck	HP:0000661	Palpebral fissure narrowing on adduction		Estrechamiento de la hendidura palpebral en aducción	
Abnormality of head and neck	HP:0011325	Pansynostosis	Craniosynostosis of all calvarial sutures.	Pansinostosis	
Abnormality of head and neck	HP:0100269	Paramedian lip pit	Depression located paramedially on the vermilion of a lip.	Fosita (pit) labial paramedial	
Abnormality of head and neck	HP:0006784	Paranasal sinus hypoplasia	Underdevelopment of the `paranasal sinuses` (FMA:76587).	Hipoplasia de senos paranasales	
